,0
15568,"Obviously one goes for the view and it is fantastic
Don't wear trainers as they won't let you in :  Why pick on footwear when some people had bad dress sense elsewhere on their personage ! 
Waiting Service was nothing less than atrocious : We...More"
15569,"The surrounding and the ambience was pretty good at this restaurant, however it was quite hard to get a window seat.  Apparently, they've reserved these seats for birthdays, anniversary or first timer (we were been told on the phone that if we turn up early,...More"
15570,"I went to the Aqua bar for drinks with friends and didn't eat. 

The views of London at night are truly spectacular, especially the Thames and Tower Bridge. The bar and decor is very contemporary with lots of mirrors and very (too?) dim lighting. The...More"
15571,"Four of us visited the Aqua Shard at around 5pm on a Saturday. It was easy enough to find from London Bridge station and we got in easily enough, (note they have a no trainer policy people in front of us were turned away). Once...More"
15572,"This will be short, and very sweet. We enjoyed a few drinks with a group of friends before we dined at the Oblix (see separate review).  Great atmosphere, really great bar, not crazy prices and wow, if you’re lucky enough to have a clear evening...More"
15573,Restaurant has amazing view over the London and it was main reason why we have picked Aqua Shard. Food was delicious and nicely presented but portions too small to satisfy hunger. Definitely you have to order sides. I was feeling a little bit chilly in...More
15574,"Well at 31 stories in the air with glass on all sides. I guess I should mention the view!!! Outstanding !!
A lunch that calls for a glass of champagne or two and on the list a rose Ruinart at under £20 a glass is...More"
15575,"I booked this for a large group of 90 diners for business. We had exclusive use of the Gin Wing, the service was punchy and food delicious. We had a 5 course sit down dinner that was a bespoke menu and a selection of canapes....More"
15576,"yesterday visited the Oblix for breakfast, When we arrived the views are stunning , but the 4 of us were let down by untrained staff for a restaurant of that level, We ordered 4 breakfasts, tea was served & water but they lent over us...More"
15577,"The huge picture window that meets you as you walk down the stairs from the lift is amazing. The views of London looking out over the City and into the West End are fantastic. We went here for a family lunch.
The food was good,...More"
15578,"We arrived about 5 pm after visiting The View and found a table by the window to admire the view across the river to the Gherkin. Enjoyed drinks and then supper, again a table for 2 by a window and by now a night time...More"
15579,"I love Aqua Shard so much. Food is lovely, quirky cocktails, pleasant atmosphere and the service is friendly and implacable (I'm very fussy about service) love it here, my fav place at the moment. Highly recommended and of course the view is beautiful."
15580,"Just wanted to give you some feedback,
I was there to Cerebrate a friend’s birthday ,we were 4. Table reserved at 8pm 

As much as the view was amazing ...
The service at the Table was not too slow to bring the food too slow...More"
15581,The views from this restaurant are truly spectacular and it is undoubtedly worth a visit for that reason alone. Our table right next to the window could not have been better. The food was good without being exceptional. The food was good without being exceptional....More
15582,This in unbelievably by one of the exciting places that I have visited in London! The staff are extremely attentive and courteous with exceptional customer service skills.  I was particularly enlightened by the drink 'Heaven on Earth' and I was curious to find out more...More
15583,"Visited for breakfast with my wife. Lived up to expectations, spectacular views good service and an excellent breakfast which was surprisingly good value. Both ordered the full Shard Breakfast which was very well cooked and very tasty. Easy booking process and booking re-confirmed the previous...More"
15584,"It's all about the VIEW THE VIEW THE VIEW.  

The four of us had a great table near a window on a cloudy London afternoon for lunch, and the view was still incredible.

It's ridiculously expensive for the food, but worth it for the view...More"
15585,"A new restaurant in an iconic London landmark was either going to result in an incredible experience or an expensive tourist trap. I'm glad to report that Aqua Shard doesn't rest on its location laurels; it delivers on every level. 

The online booking process was...More"
15586,"This restaurant now serves breakfast in addition to lunch and dinner. It is spacious and modern with fantastic views from approximately half way up the Shard, this means the range of vision is not as far as from the top but the clarity of what...More"
15587,"Shocking! 2nd time around and exactly same experience. Staff lack energy and basic manners, meant to be British top class dining, maybe employer some British staff? Or pay a decent wage to attract staff who want to wait on tables,  no welcome or introduction once...More"
15588,"It is all so easy for someone who had a bad experience to write a review and all those that had a wonderful time don't think twice to air their views. 
I read one reviewer complained about the dimly lit room. Well surely if it...More"
15589,"Great food, very helpful staff and a view to die for. Best location is to sit on the outside of the building as a couple to benefit from view"
15590,I have traveled to London over the past few years and watched grow to one of the most unique buildings in London. I went to the Shard and the Aqua restaurant with business associates. I was curious to see what type of restaurant it would...More
15591,"I don't think I've ever seen a restaurant with so many staff,  however,  most of them seemed very inexperienced or simply didn't care - bystander effect maybe?  How about having one or two waiters to look after you throughout the meal?

The champagne we had...More"
15592,"Visited on a sunny evening and the views are breath taking, love looking over London so this was brilliant. The waiters were very friendly and ready to assist as was the service time. The food we got was very mixed. We shared the steak for...More"
15593,"I went to the restaurant on a Monday evening and it was relatively busy. I had read several other negative reviews, but hoped to be pleasantly surprised. However the service and food did not even attempt to compete with the views. The first thing to...More"
15594,"I will spare readers the details and keep to the facts. 

The venue is amazing. Truly incredible views over London, especially when looking west. 

However, this place must be avoided as the service is absolutely atrocious. Breakfasts simply should not take 50 minutes to arrive...More"
15595,The view of London from level 31/32 of the Shard is fantastic; the best there is and well worth a visit. The meal at Aqua was less good. We were booked for lunch at 1.30pm and arrived about 45 minutes early to give us time...More
15596,"Now granted, the views are wonderful, of course they are. What's not to be spectacular about being sat on the fourty-something-th floor of an enormous glass needle? But, but, but, the service in these places is spectacularly shoddy (and by ""these places"" i'm looking just...More"
15597,"We visited the aqua as a party of 8 and the experience from start to end was shocking.
the meet girl on the 31st floor hardly spoke English, was bad mannered, rude, unhelpful.

the service was poor the staff didnt care, the whole experience was...More"
15598,"The food is pleasant however not particularly spectacular. The staff were courteous but there is a lot if rather loud chit chatting amongst themselves while you dine, a bit like eating at All Bar One or similar. 

This is the kind of place where really...More"
15599,Aqua Shard is definitely worth a visit. We had lunch there and although it was slightly overcast the views from 31st floor are amazing. Varied menu we had sea bass and salmon as starters followed by wood pigeon and pork cutlet. Staff were very attentive.
15600,Visited here as a couple. We were greeted by several staff and shown to what was described as a 'special' table for us. Special doesn't begin to cover it! We had a table for two at the window with an unobstructed view across London. Food...More
15601,"On arriving at the restaurant we had to speak to about 4 different people before we ""checked in"" . I actually told my dining partner that if I needed to speak to anybody else I would have felt like screaming. We requested a window table,...More"
15602,This was our final evening of a long weekend in London and what a delight. The views are amazing. Our evening started off at the bar before moving through to the restaurant. The menu suited us perfectly. The service was excellent as was the food...More
15603,"I was in London for the first time in almost 20 years and our business associates were kind enough to take us to Aqua Shard for dinner one evening.  It is a lovely setting with terrific views.  It was quite noisy in the room, although...More"
15604,"a spectacular setting supported by excellent service and 5 star cuisine

the whole experience was one of the very best I have encountered

sublime scallops for me, sensational lamb for my friend followed by the best baked cheesecake ever cooked, and supported by an amazing...More"
15605,"we went for the 3 course set lunch menu. originally 2 course planned but portions do not fill so we went for the pud - glad we did  - the puff pastry was very nice.
the problem in this place was the service. we finished...More"
15606,"2 of us went for lunch on Sunday...it was a stunning day so the views were stunning...

There are lots of window seats if you are a party of 2...if in a bigger group you may be set back from the windows but still great...More"
15607,We celebrated my husbands 40th in the private dining room and it exceeded every expectation we had! Mother Nature was very kind to us and our view was spectacular! The food was absolutely incredible and the Service was amazing. Sommelier paired the wines perfectly and...More
15608,"We chose Aqua in the Shard as we wanted to try a new restaurant. The entrance was great, coming out of the left, then walking down the stairs into the bar. Great initial views outside at night. However, the bar was incredibly busy and difficult...More"
15609,"Visited with friends for drinks only to take in the view from level 31 of the Shard.  Drinks are very expensive, (£10.50 gin & tonic) but wine can be had for about £5 per small glass. Service was very slow but then we were in...More"
15610,The reason for coming to this restaurant is the view and it certainly doesn't disappoint.  I've been on two occasions now.  The first time we had a table by the window and watched the sun set over the city; the second time we were a...More
15611,"I enjoyed my visit here. I had read negative reviews about the place.  But it is enjoyable.  The food is creative, tasty, enjoyable. The service was very good.  The view is great, but do need to ask for the tables near or next to the...More"
15612,Fantastic views over London. The food was very good and so was the service. Recommend for business and pleasure.
15613,If it wasn't for the view this place would not get any second trade. It's posey and the staff think they are someone that really should not be serving you. Waited 20 mins to get a cup of coffee whilst waiting for my guests to...More
15614,"After considering The Shard for some time, I decided to give it a try.  The waitress did not find a table for some time and kept me walking around the restaurant, following her.  Considering I had booked two weeks in advance, I found this strange....More"
15615,"We visited the Shard in September as a birthday surprise! 
The view was amazing - but we were extremely let down by the service we received when dining at The Shard. The waitress didn't come across friendly from the minute we were greeted - if...More"
15616,"Booked this as a treat for some american friends. It seemed a good idea than rather to pay £25 a head to go to the top of the shard, use that money to pay for a meal halfway up.....

Firstly, beware the website says no...More"
15617,"31 floors up (only half way) you are greeted by friendly staff and breathtaking views overlooking the city. There were 6 of us eating and each agreed that the food was very well cooked and presented, plus a good wine choice. We went on a...More"
15618,"Great view from the restaurant, love the idea of the bar where they mix the drinks. Food choice bit limited - not much for vegetarian - one main and a few fish choice. Salt lamb was so tasty & cooked to perfection. Pork dish was...More"
15619,"Today I went to the restaurant for breakfast and it was amazing. I had the lobster and egg muffin, hot chocolate and a mamusa cocktail. In all honesty I could not fault anything. From the minute I walked into the restaurant until the time I...More"
15620,"Had a beautiful breakfast and cocktails amongst friends. 

Floor to ceiling views over London sold its self. But the exceptional service made my party and I enjoy our experience even more. 

Will certainly recommend and will be back in the very near future."
15621,I went to this restaurant in September 2013 and was extremely disappointed. The staff were all unhelpful and seemed to have a bad attitude. We had an arrogant waiter who had the cheek to tell me that on requesting some salt that my meal didnt...More
15622,Wonderful view but the food is overpriced and uninteresting. I had a risotto of the vilest green colour and a taste to match. The lamb was raw not pink and the desserts were tasteless. Wine is expensive and the service is very very poor. Almost...More
15623,"We considered the Viewing Platform @ £25.00 per head at the Shard, but decided to go to the Aqua instead.

It's around 8 floors below the Platform,modern, comfortable,smart & chic, open plan, black and chrome, it's well worth paying the cost of between £8 to...More"
15624,"Could only get a 9pm dinner sitting at short notice, which was fine - and well worth the wait.  Food was excellent - no complaints, and a stunning view .... even in the ladies loos girls!"
15625,"Having enjoyed a memorable dinner in August, I took my two nephews who are going to Oxford University next week for lunch yesterday and felt I had made another smart decision.

A warm and personal welcome by the front desk team combined with good service...More"
15626,"A present for my daughters 18th birthday was lunch at Aqua Shard after having experienced the view from the very top. 
Upon arrival I informed the gentleman at the reception about my daughters birthday and asked for a window table, which we luckily got, considering...More"
15627,"The views at night were spectacular, especially of St Paul's Cathedral and the decor was luxurious. The food was so-so and not good value for money, especially the baked cod dish. Cocktails and wine were good however and the only redeeming factor. 

The most disappointing...More"
15628,"WOW...! I have been wanting to visit since it opened and it was certainly worth the wait. Incredible views of London City, with a great cocktail list and mouth watering food. Cant wait to come back with more friends to show off this incredible location....More"
15629,"We expected the view to be stunning, but were very pleasantly surprised by the quality of the food.  The presentation was immaculate and all the courses from our set-lunch menu were delicious with subtle flavours.  There were some surprising and unusual elements like the squid...More"
15630,"Aqua Bar, frankly is quite ordinary and yet expensive. I guess their main selling point is that it is in the Shard and offers good views across London.
Good cocktails and good british food. No complaints on that. But then there are a host of...More"
15631,"We went and had a drink in the bar which had amazing views, little or no table service offered.

If you are in a party bigger than 2 then you will no find a table near the window although the views are good by day...More"
15632,"We booked this as a treat for my in-laws.  The view is amazing, that's for sure, but the service is really pretty slack and the food is just average when you take into consideration the cost of it all and they add on 12.5% service...More"
15633,"I have been to Aqua Shard twice and they certainly need to increase the number of staff there.

Each time we have to wait for a while to have our order taken and then a while for them to bring the drinks. In average if...More"
15634,"People will unquestionably go here for the views, but don't let that be the only reason you come here because I have to say the food is excellent too.  Some of the dishes appear quite simple, but when they arrive both the presentation and flavours...More"
15635,"Booked through through book a table for a cheap deal.  When I arrived I waited 15 minutes before I got any service.  I was then told that the deal wasn't on and the manager said we are always full, we don't need to provide deals??...More"
15636,"Long wait for drinks. Rude staff. Dreadful customer service. 

It took 30 minutes for our drinks to arrive. When they finally did they were dropped on my friend. There were no apologies from the waiting staff, only a handful of kitchen roll given to my...More"
15637,"Delicious three course set lunch at £28 per person or two courses for £24.00 while enjoying a sensational view on 32nd floor.
Received a warm greeting on our arrival at the Aqua and asked by a young woman at the desk to wait to be...More"
15638,"We went for lunch, and we're greeted by the front of house he was a real hoot...David! The lunch was delicious I went for the soup with mussels, that they pour at the table, and it was a real treat, absolutely divine. Then we had...More"
15639,"We ate at the restaurant for a special occasion dinner. The food was incredible and our waiter was lovely and helpful, but I have to say that the entire experience was completely let down by the arrogant and inconpetent management! They were incredibly rude and...More"
15640,"Upon my arrival to the restaurant on a sunny Sunday afternoon, the delivery of the service from the staff was welcoming, accommodating and warm. 

However after being seated at my table, having to choose a meal from the menu, was very difficult experience with little...More"
15641,"We went to celebrate a special birthday. The bar staff were overworked and management rude, arrogant, unhelpful and unpleasant. It spoiled the view."
15642,My husband and I had lunch here today and had a fabulous time. I had the foie gras which was really tasty although my husband had the cured sea bass and had food envy as this was too delicate a flavour. However we both had...More
15643,We were taken here for a birthday celebration and were underwhelmed. It's all rather souless with no real personality. The decor is attractive and there are good views over London (32nd floor) particularly from the loos. The staff are pleasant but the service is uncoordinated....More
15644,"This apparently has recently been opened. Nice destination to see all of London as the tower is the highest in Europe. The restaurant is nicely decorated and the food was very good. But the service was slow, the need to help did not exist and...More"
15645,My fiancé and I went here on Sunday night and had a wonderful evening. We arrived a good hour before our table reservation and had a cocktail in the bar. The cocktail I wanted wasn't on the list but they made it for me no...More
15646,"It goes without saying that a drink or a meal at Aqua Shard will provide you with amazing views - and it does!  So putting the views aside, would you want to eat here?  

Well, that' a tricky one - why?

* Menu - I...More"
15647,"View - excellent.

Food - excellent (to our surprise)

Layout - excellent (although they don't keep any space aside in the bar for restaurant guests to have a drink prior to their meal so you'll need to fight if you want a seat - goes...More"
15648,"Just got back from Sunday breakfast at the Aqua Shard. It really was worth getting out of bed at 7am for!

The welcome is excellent after your ears have popped in the lift swooshing you up to the 32nd floor. As you enter the restaurant,...More"
15649,"Arrived at the restaurant to be looked up and down by the greeting staff as if they were not sure I should be allowed in their hallowed establishment! Nice start...., no Hello, how are you ? Are you dining with us today etc etc. Went...More"
15650,"Arrived at the Shard and went up to the 32nd floor, where we were promptly ushered into a side lift and taken down one floor to offload our bags in the cloakroom .  This meant we entered the restaurant via the cloakroom.. not a great...More"
15651,We had a really good time at Aqua Shard the building is fantastic and the staff were great. They made you feel really comfortable and could not do enough for us. The food was OK we had the lunchtime menu but not a great choice...More
15652,"A wonderful and memorable evening at Aqua in the Shard.

Fabulous venue, lively bar, not crowded but vibrant. Super views, great atmosphere. Varied and broad menu at reasonable prices for this quality of restaurant. All topped off with excellent service, especially David - thanks for...More"
15653,"We visited Aqua Shard on Saturday lunchtime and it really was a special experience which I would attribute to the food, the views over London and the ambiance.  The menu was interesting and exciting and the food did not disappoint when it arrived.  The pigeon...More"
15654,"The attention to design, service and the atmosphere is simply amazing!   This coupled with a breathtaking view of London - one that makes you fall back in love with this city!!!! Must go to..."
15655,"Six of us went for a meal here at the weekend. Great ambience, amazing views and excellent food. Service was great and our waiter was fun and efficient. Would highly recommend."
15656,"It is not in mid-town and not easy to get to but what you see from the windows compensates for this, as long as it does not rain cats and dogs as was the case during our visit. The pouring rain virtually blocked view. Thought...More"
15657,"Had breakfast with a client at Aqua this morning, fantastic food in fact one of the nicest cooked breakfast I have had in a while, lovely atmosphere, fantastic views all around, attentive staff and great value, a full English breakfast only £15 which is far...More"
15658,"The welcoming hostess was very amicable and smiley. But she didn't loose the opportunity to tell me that only for this occasion she'd let me in, in spite of my shoes. Because - she added, no trainers or sport shoes are allowed inside (I didn't...More"
15659,This is a wonderful place for a special occasion; I was treated to a meal there by my son as a 60th birthday present and it was just amazing.  The service acknowledges people are there for something special and enhances the experience. The view is...More
15660,I was surprised to find that the food would be so good in the Shard given I thought it may be a bit touristy...but it was excellent - I had the lamb and the strawberries and cream for dessert. Service was spot on and bathrooms...More
15661,"Amazing view of London-indeed. But other than that this bar/restaurant is nothing special comparing to some of the greatest restaurants in London. Food is just ok, nothing extraordinary. Drinks menu is full of really weird combinations coctails, but there are no classics, like Cosmo. 
Staff...More"
15662,"After waiting over 30 minutes for drinks waitress dropped three cocoktails in a friend's lap, friend was handed a roll of paper towels to clean herself up, we had to request a dry chair. Asked for a bottle of wine instaed of cocktails and was...More"
15663,"I visited on a glorious London afternoon. Aqua exceeded my expectations from the beginning. David is maitre d' extraordinaire! My table overlooked The Tower of London and the Gherkin. 

Being early afternoon, I opted simply for dessert with champagne.  Dessert was sublime - Chantilly cream,...More"
15664,"We had a wonderful evening at Aqua Shard. You would think the food would be an after thought whilst admiring the view, but it wasn't. The food, drinks, service & view made a winning combination. The menu was reasonably priced, had a variety for all...More"
15665,"This restaurant is so beautiful and the view is breathtaking, especially at night! 
This is a perfect restaurant, if you go for drinks and the impressive view. Go someplace else for dinner. London has so many great restaurants and this is really not one of...More"
15666,"We visited Aqua Shard one Saturday lunchtime, and the experience did not disappoint. It wasn't the brightest of days, but the view was still impressive and the layout cleverly made the most of that, with the tables for 2 around the edge of the room,...More"
15667,"Fine dining is something that my husband and I have always enjoyed.
 It was our 12th Wedding Anniversary last night and we booked the Aqua. An amazing dining experience. Excellent service, food was lovely and the atmosphere and view was amazing. I would highly recommend."
15668,"Fans of Sketch will be thrilled to be greeted by David at front of house, as you exit the lift on the 32nd floor. 

One floor down from your warm greeting, the Aqua Shard itself offers stunning views overlooking The City of London to the...More"
15669,"We arrived at 6.30pm on Saturday evening, perfect to see the city in daylight before it changed to magical views and lights. The staff were efficient and our waitress was a lovely Irish lady, chatty and very helpful. The view is superb and its worth...More"
15670,"We visited aquashard on a friday evening, table booked for 6.15pm, for a special treat for my mum who was visiting us in London.  I was extremely disappointed the view was obscured by rain and fog, however clearly not their fault!  Despite this the atmosphere...More"
15671,"Absolutely recommend this place for the amazing views, and its set out fantastically,  with the loo with a view!
Food wise it was very good, but not stunning, service was also a little slow. Food and drink is on the expensive side but you are...More"
15672,Welcome at Restaurant was second to none as was that initial breathtaking view.  We arrived with a +1 but after a couple of minutes they had joined some tables to accommodate our table of 9.  Ordered from the Lunch menu and it was just simply...More
15673,We visited aqua shard on Friday night to celebrate my fiancés birthday & our anniversary. I was a bit dubious after reading the negative reviews on service on here but couldn't of been more wrong for our visit. We were greeted on ground floor reception...More
15674,"Firstly let me start by saying David who greeted us was an absolute delight, personable, informed, a true gentleman and a credit to the restaurant. We were taken to our table which did have a lovely view and then left for an hour, the service...More"
15675,The view alone is worth going for and most restaurants would just rely on that but Aqua have put  lot of effort into crafting a top notch menu to add to the whole experience. I liked the fact I could read about where the food...More
15676,"with such a view and such good food what could possibly go wrong.  the service. woeful, under trained and inattentive. two courses in two hours. what a waste of such a great location.  certainly not for a business lunch."
15677,We had a celebration evening from work and had booked 2 booths several weeks in advance. We were taken to our tables some 30 minutes late and then experienced mixed service with one table being served at a different rate than the table next to...More
15678,"I loved the decor of the place, the view is stunning, the food was excellent, service was fantastic, nothing at all to complain about. You must visit."
15679,"I went for my wedding anniversary, the food was okay: my started was not as was expecting, my main course was really nice I can't complain the pork was well done with a lovely flavour but I had some hard bread while the period that...More"
15680,"We went to this restaurant for the Shard and because we love Aqua in Hong Kong. The view, and the decor and design did not disappoint, the general feel, ie floor to ceiling windows giving a fantastic view of the city reminded me of the...More"
15681,"Booked as a surprise for my partners birthday 
We were met from the lift by the manager who explained where things were and who would be looking after us and a bit of his professional history, very nice personal touch.
The cocktail bar needs a...More"
15682,Was looking forward to the view and experience and warned my guests not to expect too much from the food bearing in mind reviews on here. However I have to say that the food was very good and the setting is of course unique. Agree...More
15683,"A very disappointing trip there this weekend. Firstly, there are a ridiculous amount of staff standing around doing nothing, there seems to be people there just to point you to the next person, who points you to the stairs and so on....there were 4 people...More"
15684,"Three of us went for the set lunch (£28/ 3 courses or £24/ 2 courses). As all the window tables are tables for 2 we sat one row inside. After reading all previous reviews I was expecting ""bad service and cold food"". The staff was...More"
15685,"I took my mother for her 80th birthday treat. We were not disappointed. She is still talking about it a week on! The staff were very welcoming as we arrived and attentive, but not over so during our meal. Cocktails were fab, food delicious. Definitely...More"
15686,"Good view, but everything else is truly dreadful. Food is just about edible, in an over chilled, over processed sort of way, and at best tastes like something you'd find in a first class airport lounge. Conveyor belt stuff, badly done and embarrassingly overpriced.  The...More"
15687,First time at the Shard but what a fantastic experience made especially memorable by David (who is the Front of House Manager from Northern Ireland who not only looked after but was probably one of the best guys in that role I have seen).His eye...More
15688,"Was a suprice visit, the views are amazing, even from the toilets :-), the arrive was great and the food delicious. Was pleasantly surprised that it wasn't overpriced and people were comfortable taking a wander to get a few snaps. 
Stunning!"
15689,"We ate here as a birthday treat for my boyfriend.  I wasnt expecting much from the food, but was very pleasantly surprised.  The food was delicious, very well presented and good portion size.  The staff we very polite and nicely friendly (not OTT), but pleasant....More"
15690,"Well worth visiting The Shard and seeing London from the platform but skip Aqua. Service lacking, staff at the door the worst I've ever encountered. Lots of great nosh in London so go eat elsewhere."
15691,The stunning view is the only reason to recommend this restaurant as you can find much better food at much more reasonable prices nearer sea level.  We had the set lunch menu with a bottle of their cheaper wine and a couple of coffees which...More
15692,"My teenage daughters booked my surprise birthday dinner here, knowing I would enjoy the architecture, views, surroundings and experience. Some of the food was good, but as we were not there for the gourmet experience on this occasion, I cannot fault it, but half of...More"
15693,"Having read other reviews about the service I wasn't expecting much, but we couldn't fault it. We went for lunch for our wedding anniversary. We booked through Bookatable on line not mentioning our anniversary, but letting them know my husband followed a diabetic diet. As...More"
15694,"We had lunch in the restaurant today, wasn't at all impressed by the service, very young, very cocky staff team who might as well be on school work experience.  We felt hurried, no-one bothered to ask if we were enjoying our food, two courses served...More"
15695,"Everybody knows that if the view is stunning the food is tasteless. That's an universal rule, but all rules have exceptions. Jules Verne, in the Eiffel Tower is one and Aqua Shard is other. Located in the tallest building in London, with its all glass...More"
15696,"So the food is not Michel Roux, the service is good and they made a special effort for our silver wedding but its not World Class but both well above average - the views are just stunning! It's a fabulous place for a really good...More"
15697,"Fantastic bar, wonderful atmosphere, amazing views. Nice staff, but what is going on with the food, small portions, disorganised delivery, Luke warm, we came out hungry !!!. £150 for 3 for lunch. However had a good day but the food had little to do with...More"
15698,"Again, Totally agree with the other reviewers, it is the service that lets this potentially fantastic restaurant down. 

Location and view 10/10!!! Food 8/10 service and the 'personal touch' 4/10.

All the staff from the welcoming hostesses/waitress/bar staff seem to be Eastern European (If I...More"
15699,"This is a beautiful place, well designed, and, of course, the views are amazing. The service was OK at best and food only decent, not at the level one would expect from a place like this. Have a drink at the bar instead and enjoy...More"
15700,"I struggled to rate this - would have been 3 if not for the view.
Lovely welcome and a male maitre d insisted we sat by the window while we waited for our table (we had previously been placed by the door) We were then...More"
15701,"Our daughter visited the restaurant a few weeks ago with colleges from work. She told us the view was amazing and we needed to ""experience"" it and the dining.  A table was booked for Wednesday 28th August for 6pm till 8pm (the only slot she...More"
15702,"Came here Saturday night at 7pm for a couple of hours and had a fantastic time! Didn't eat but came for cocktails at the bar. Somehow managed to bag our selves a window seat and wow the view is amazing, overlooking tower bridge and the...More"
15703,"Great views, but I'd go to the bar for a drink and look at the view rather than the restaurant.
The food was fine, generally quite nice but if was so slow. Nearly an hours wait for each course, so we ran out of time...More"
15704,"Good food - including an interesting and tasty starter with Earl Grey and a magnificent soufflé dessert. Warm welcoming and curteous server at the table. 
Even if the food was poor you should come and enjoy the fantastic view!"
15705,"You have to visit this restaurant because it has a wonderful view. The place is nice and clean, the food is good and a bit expensive and the service average. But the view of London make it worth visiting."
15706,Took some overseas guests here at lunchtime. We were lucky with the weather and the view was stunning. The lunch menu looked good value for money and there were plenty of interesting choices. The food however took sooooooooo long to arrive then someone came and...More
15707,"So the view is great - get that out of the way, but it means dozens of greeters, to make sure, I presume, that no interlopers sneak a quick look.  The menu sounds interesting but 1st of sea bream ceviche unexciting.  From the mains saddle...More"
15708,"I went here with clients not knowing what to expect. Everyone from the front door to the building to the reception at the restaurant were very charming and helpful.

The entrance to the restaurant is impressive with floor to ceiling views of London and no...More"
15709,Service is average and the food a bit precious and not that impressive. This place is all about the view - and the view is great. Given the price of admission to the viewing areas of The Shard stumping up for dinner here seems an...More
15710,"We were given this tip by a friend who lives in the city and it is too good not to share with others. When considering our itinerary for a long weekend in London, a trip to The Shard was up there on our list. The...More"
15711,"Having been recently based in HK and Aqua Tokyo being one of our favourite restaurants there we were quite excited that London now had its version.

So on entering the 32nd floor restaurant with floor to ceiling windows with the magnificent views of London stretching...More"
15712,I attended with colleagues from work as a business/social lunch as we wanted to enjoy the new experience of the Shard.  I was looking forward to the views and a nice 3 course lunch.  Well on arrival we had to wait about 10 minutes to...More
15713,We surprised the bride on her hen do with champagne at Aqua Shard at the end of the evening. What a perfect way to finish! The view is truly spectacular and the staff were very helpful in finding seats for the group of us. We...More
15714,"We were a bit optimistic about going to the Aqua Shard, My husband arrived before me and txt me to say how to get to the Restaurant, Once there I was taken to a lift to go to the 31st floor and was greeted when...More"
15715,"We came here for my friend's 40th! Food is amazing, views are breathtaking and the service is top class. It was pricey, but nothing we weren't already expecting!"
15716,"The service is superb !   So many people are there just for you, or so it seems.   And the Food is great, not expensive, there is a fixed price lunch menu, which is what we went for.   Actually, we went from one to another.

We...More"
15717,"An excellent view however food is decidedly average. Small portions thats seemed to be trying too hard.

Worth a trip for the view."
15718,"My fiancé and I went to London for the weekend and whilst there managed to get a meal at the aqua shard. The food was amazing. The starters I have to say was the least interesting but the main was beautiful, we had the sharing...More"
15719,We were a table of ten so didn't get a window seat but that was about the only disappointment. Lunch menu reasonable value (for London). Service reasonably efficient and staff very friendly. Certainly plenty of space between tables which makes for a pleasant atmosphere. All...More
15720,I booked a table over a month ago and asked if we could be beside a window. I was told it couldn't be guaranteed. I also mentioned we would like the set lunch menu. On arrival we were told we couldn't have a window table...More
15721,"Unfortunately, the restaurant was fully booked but since we were there we thought we may as well have a drink.

Best advice - don't bother with the viewing platform, just make sure you're dressed nicely (no sports wear or trainers) and spend the £12 you...More"
15722,"Just went to the bar for a drink. It was just before the restaurant starts the service so it was quite quiet. 

The first approach is really impressive, especially when you see the limitless views over London and the bar itself looks nice but when...More"
15723,When you walk out inot the restaurant the view does take your breath away as the floor to ceiling windows mean there is no bad view.  My tabe was right by the window sonto for someone afraid of heights but i loved it.  This is...More
15724,"Booked a table at lunch time to celebrate our anniversary, emailed the restaurant to ask for a good table as it was a special occassion. Firstly the lift taking you to the 32nd floor is so fast you are there in no time!  You then...More"
15725,"Booked lunch in advance...arrived and the security really put me off judging my friend shoes (the rest was simply formal shirt and trousers) and letting us wait for 5mins to see if he could let us in. Please be careful, do not wear Converse! We...More"
15726,From the staff on entry to the restaurant we were looked after very well .  As a 1st visit I enjoyed the whole experience.  The staff were attentive and very happy to answer any questions we had whether they related to the food or the...More
15727,"We visited on a Monday evening. It was medium busy and we thoroughly enjoyed the experience. 

We only had drinks and they were of course ridiculously overpriced (£8 for a tiny glass of wine!) but we expected that. The staff were helpful and attentive. 

Despite...More"
15728,"Even without the stunning views from level 31 of the Shard, this would still have been a great experience. From the moment we arrived at the ground floor entrance to the Shard's three restaurants, we were looked after by the friendly and helpful staff. There...More"
15729,"Aqua Shard raises the mark for London restaurants, great food, great atmosphere friendly staff and spectacular view, I highly recommend it!"
15730,Had a birthday lunch with my girlfriend. We have started off with some drinks in the bar. I must say tea infusion cocktails were one of the best I have ever tasted (especially with a great view in front). For lunch we were seated right...More
15731,I'm proud to call the Shard my local - and what a local it is!!! I've visited four times now since it  opened and the place just gets better and better. It's fantastic that you don't have to reserve to have a cocktail and enjoy...More
15732,"Entry is very swift to the lifts. You can pretty much waltz into the bar no problem. (Restaurant needs reservation - although they will try and accommodate you if there is space)

Views excellent is course. The bar faces north toward city. Drinks list is...More"
15733,I had drinks at Aqua Shard last week and must say it ticked the boxes perfectly. if you want a nice environment to enjoy nice drinks in along with what must be the best views in London then you cant go wrong. Gents I strongly...More
15734,"Unfortunately it didn't deliver. We were recommended a Skyline Cooler cocktail to start the evening off and it didn't disappoint - a very tasty and easy drinking cocktail. We were given a table by the window, thought it would be lovely but apart from the...More"
15735,3 course dinner. excellent and friendly  service...inventive and delicious food and stunning views. best modern interior in London with a impeccable lighting and stunning view toilets ( I have seen globally many and this is definately one of the best looks ) with panoramic glass...More
